"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Бандаж","","","","","","","","","","","410,818.3",""
"Бандаж вертикального валка ч.УРБС КО-2125","УРБС КО-2125","Мечел","75.000","750","ТШХНМдц-55","24,000.00","32.00","32.00","Жуков Евгений Александрович","13.10.2025, Подались","56,250","16,80"
"Бандаж составных валков калибр 444 ч.19.1.4.11-65-500МЕ-04","19.1.4.11-65-500МЕ-04","ВТЗ","8.000","1,125","ТШХНМ-50","28,305.00","25.16","25.16","Морев И.В.","26.09.2023, Выиграли частично","9,000",""
"Бандаж валка (нижний) ч.0000.002.20.03.2017","0000.002.20.03.2017","Суэк-Кузбасс","6.000","1,225.05","P235GH","334,438.65","273.00","273.00","Пилюгин Дмитрий Михайлович","04.09.2024, Отменен","7,350.3","150,00"
"Бандаж валка (верхний) ч.0000.001.20.03.2017","0000.001.20.03.2017","Суэк-Кузбасс","4.000","1,311.5","P235GH","373,635.00","284.89","284.89","Пилюгин Дмитрий Михайлович","04.09.2024, Отменен","5,246","150,00"
"Бандаж составных валков станов ИКС и Рекалибратора К360-372 ч.19.1.4.11-65-500МЕ-03","19.1.4.11-65-500МЕ-03","ВТЗ","10.000","1,315","ТШХНМ-50","33,854.00","25.74","25.74","Морев И.В.","26.09.2023, Выиграли частично","13,150",""
"Бандаж горизонтального валка ч.УРБС КО-3335","УРБС КО-3335","Мечел","12.000","1,545","ТШХНМц-60","41,800.00","27.06","27.06","Жуков Евгений Александрович","13.10.2025, Подались","18,540","13,50"
"Бандаж горизонтального валка ч.УРБС КО-1778","УРБС КО-1778","Мечел","3.000","1,594","ТШХНМц-60","43,200.00","27.10","27.10","Жуков Евгений Александрович","13.10.2025, Подались","4,782","13,50"
"Бандаж составных валков калибр 260-288 ч.19.1.4.11-65-500МЕ-02","19.1.4.11-65-500МЕ-02","ВТЗ","30.000","1,605","ТШХНМ-50","40,381.80","25.16","25.16","Морев И.В.","26.09.2023, Выиграли частично","48,150",""
"Бандаж составных валков калибр 235 ч.19.1.4.11-65-500МЕ-01","19.1.4.11-65-500МЕ-01","ВТЗ","48.000","1,760","ТШХНМ-50","44,281.00","25.16","25.16","Морев И.В.","26.09.2023, Выиграли частично","84,480",""
