"","Таблица кодов ТН ВЭД ЕАЭС по импорту","","","","","",""
"","","","","","","",""
"","Код ТН ВЭД ","Описание","ключевые слова","Примеры ввозимых товаров","Пошлина","",""
"1","9031908500","ЧАСТИ И ПРИНАДЛЕЖНОСТИ ИЗМЕРИТЕЛЬНЫХ ИЛИ КОНТРОЛЬНЫХ ПРИБОРОВ, УСТРОЙСТВ И МАШИН, ПРОЧИЕ (ЧАСТИ ГИДРОИСПЫТАТЕЛЬНОГО СТЕНДА)","ШТОК (КОНТРОЛЬ И ИЗМЕРЕНИЕ ПРОЧНОСТНЫХ ПАРАМЕТРОВ ТРУБНОЙ ПРОДУКЦИИ)","ШТОК","0%","",""
"2","9031809100","ПРОЧИЕ ПРИБОРЫ, УСТРОЙСТВА И МАШИНЫ ДЛЯ ИЗМЕРЕНИЯ И КОНТРОЛЯ ГЕОМЕТРИЧЕСКИХ ВЕЛИЧИН, ПРОЧИЕ, ПРОЧИЕ - ДЛЯ БСК","КАЛИБР","КАЛИБР-КОЛЬЦА З-133. ГОСТ Р 50864-96, КАЛИБР-ПРОБКА З-133. ГОСТ Р 50864-96","0% + 30 000 РУБ. ЗА ТАМОЖЕННЫЙ СБОР СПИСЫВАЕТСЯ АВТОМАТИЧЕСКИ","",""
"3","8709900000","ЧАСТИ ТРАНСПОРТНЫХ СРЕДСТВ ПРОМЫШЛЕННОГО НАЗНАЧЕНИЯ, САМОХОДНЫХ, НЕ ОБОРУДОВАННЫХ ПОДЪЕМНЫМИ ИЛИ ПОГРУЗОЧНЫМИ УСТРОЙСТВАМИ; ЧАСТИ ТРАКТОРОВ, ИСПОЛЬЗУЕМЫХ НА ПЛАТФОРМАХ Ж/Д СТАНЦИЙ","ОСЬ ТОРМОЗНАЯ","ОСЬ ТОРМОЗНАЯ","5%","",""
"4","8505902009","ЭЛЕКТРОМАГНИТЫ; ЭЛЕКТРОМАГНИТНЫЕ ИЛИ С ПОСТОЯННЫМИ МАГНИТАМИ ЗАЖИМНЫЕ ПАТРОНЫ, ЗАХВАТЫ И АНАЛОГИЧНЫЕ ФИКСИРУЮЩИЕ УСТРОЙСТВА, ПРОЧИЕ","ЭЛЕКТРОМАГНИТНЫЙ ЗАЖИМНОЙ ПАТРОН, ЗАХВАТ","МАГНИТНЫЙ ГРУЗОЗАХВАТ (Q=600 КГ)","9%","",""
"5","8505200000","ЭЛЕКТРОМАГНИТНЫЕ СЦЕПЛЕНИЯ, МУФТЫ И ТОРМОЗА","ЭЛЕКТРОМАГНИТНАЯ МУФТА, ТОРМОЗ","ЭЛЕКТРОМАГНИТНАЯ МУФТА, ТОРМОЗ","10%","",""
"6","8501523000","ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ ПРОЧИЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 7,5 КВТ, НО НЕ БОЛЕЕ 37 КВТ","ЭЛЕКТРОДВИГАТЕЛЬ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 7,5 КВТ, НО НЕ БОЛЕЕ 37 КВТ","ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ ТРЕХФАЗНЫЙ YBX3-160L-15KW-4 СЕРИЯ YB","0%","",""
"7","8501109100","УНИВЕРСАЛЬНЫЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО/ПОСТОЯННОГО ТОКА НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","ЭЛЕКТРОДВИГАТЕЛЬ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","","11%","",""
"8","8501101009","СИНХРОННЫЕ ДВИГАТЕЛИ НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ НЕ БОЛЕЕ 18 ВТ, ЭЛЕКТРИЧЕСКИЕ, ПРОЧИЕ","СИНХРОННЫЙ ЭЛЕКТРОДВИГАТЕЛЬ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ НЕ БОЛЕЕ 18 ВТ","","10%","",""
