Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
1,08пс,,,08F НЕ ИСПОЛЬЗОВАТЬ ЗАМЕНА НА 10,,ГОСТ 1050-2013,,,1
2,0К360В,,,AISI 439,,ГОСТ 16523-97,,,1
3,10,,,10,,ГОСТ 1050-2013,4.30,Лист,1
4,10,,,10,,ГОСТ 1050-2013,4.50,Прокат,1
5,10,,,10,,ГОСТ 1050-2013,5.00,Труба,1
6,10,,,10,,ГОСТ 1050-2013,6.00,Поковка,1
7,10Г2,,,12Mn,,ГОСТ 1050-2013,5.00,Лист,1
8,10Г2,,,12Mn,,ГОСТ 1050-2013,5.00,Прокат,1
9,15,,,15,,ГОСТ 1050-2013,4.50,Лист,1
10,15,,,15,,ГОСТ 1050-2013,4.50,Прокат,1
11,15,,,15,,ГОСТ 1050-2013,5.00,Труба,1
12,15,,,15,,ГОСТ 1050-2013,7.00,Поковка,1
13,15Г,,,15Mn,,ГОСТ 1050-2013,5.00,Лист,1
14,15Г,,,15Mn,,ГОСТ 1050-2013,5.00,Прокат,1
15,15Г,,,15Mn,,ГОСТ 1050-2013,5.70,Поковка,1
16,20,,,20,,ГОСТ 1050-2013,4.30,Лист,1
17,20,,,20,,ГОСТ 1050-2013,4.30,Прокат,1
18,20,,,20,,ГОСТ 1050-2013,5.00,Труба,1
19,20,,,20,,ГОСТ 1050-2013,6.00,Поковка,1
20,20Г,,,20Mn,,ГОСТ 1050-2013,5.00,Лист,1
21,20Г,,,20Mn,,ГОСТ 1050-2013,5.00,Прокат,1
22,20Г,,,20Mn,,ГОСТ 1050-2013,5.70,Поковка,1
23,20К,,,20,,ГОСТ 5520–2017,4.70,Лист,1
24,20К,,,20,,ГОСТ 5520–2017,5.50,Труба,1
25,20-ПВ,,,20,,ГОСТ Р 57423-2017,,,1
26,22К,,,20Mn5,,ГОСТ 5520–2017,,,1
27,25,,,25,,ГОСТ 1050-2013,4.30,Лист,1
28,25,,,25,,ГОСТ 1050-2013,4.30,Прокат,1
29,25,,,25,,ГОСТ 1050-2013,5.00,Труба,1
30,25,,,25,,ГОСТ 1050-2013,6.00,Поковка,1
31,30,,,30,,ГОСТ 1050-2013,4.30,Лист,1
32,30,,,30,,ГОСТ 1050-2013,4.30,Прокат,1
33,30,,,30,,ГОСТ 1050-2013,5.00,Труба,1
34,30,,,30,,ГОСТ 1050-2013,6.00,Поковка,1
35,30Г2,,,30Mn2,,ГОСТ 1050-2013,5.50,Прокат,1
36,30Г2,,,30Mn2,,ГОСТ 1050-2013,6.00,Поковка,1
37,35,,,35,,ГОСТ 1050-2013,4.40,Лист,1
38,35,,,35,,ГОСТ 1050-2013,4.00,Прокат,1
39,35,,,35,,ГОСТ 1050-2013,5.00,Труба,1
40,35,,,35,,ГОСТ 1050-2013,6.00,Поковка,1
41,35Г,,,35Mn2,,ГОСТ 1050-2013,5.50,Прокат,1
42,35Г,,,35Mn2,,ГОСТ 1050-2013,6.00,Поковка,1
43,35Г2,,,35Mn2,,ГОСТ 1050-2013,5.50,Прокат,1
44,35Г2,,,35Mn2,,ГОСТ 1050-2013,8.00,Поковка,1
45,40,,,40,,ГОСТ 1050-2013,4.40,Лист,1
46,40,,,40,,ГОСТ 1050-2013,4.10,Прокат,1
47,40,,,40,,ГОСТ 1050-2013,5.00,Труба,1
48,40,,,40,,ГОСТ 1050-2013,6.00,Поковка,1
49,40Г,,,40CrMn,,ГОСТ 1050-2013,5.50,Прокат,1
50,40Г,,,40CrMn,,ГОСТ 1050-2013,6.00,Поковка,1
